#1;Ludinghausen 1m Lufttemp 2017
#2;Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
# Zeit [s];T[K]
double default(8761,2);
1512000;278.55
1515600;278.55
1519200;278.55
1522800;278.55
1526400;278.55
1530000;278.55
1533600;278.55
1537200;278.55
1540800;278.55
1544400;278.55
1548000;278.55
1551600;278.55
1555200;278.55
1558800;278.55
1562400;278.55
1566000;278.55
1569600;278.55
1573200;278.55
1576800;278.55
1580400;278.55
1584000;278.55
1587600;278.55
1591200;278.45
1594800;278.45
1598400;278.45
1602000;278.45
1605600;278.45
1609200;278.45
1612800;278.45
1616400;278.45
1620000;278.45
1623600;278.45
1627200;278.45
1630800;278.45
1634400;278.45
1638000;278.45
1641600;278.45
1645200;278.45
1648800;278.45
1652400;278.45
1656000;278.45
1659600;278.45
1663200;278.45
1666800;278.45
1670400;278.45
1674000;278.45
1677600;278.45
1681200;278.45
1684800;278.45
1688400;278.45
1692000;278.35
1695600;278.35
1699200;278.35
1702800;278.35
1706400;278.35
1710000;278.35
1713600;278.35
1717200;278.35
1720800;278.35
1724400;278.35
1728000;278.35
1731600;278.35
1735200;278.35
1738800;278.35
1742400;278.35
1746000;278.35
1749600;278.35
1753200;278.35
1756800;278.35
1760400;278.35
1764000;278.35
1767600;278.35
1771200;278.35
1774800;278.35
1778400;278.35
1782000;278.35
1785600;278.35
1789200;278.35
1792800;278.35
1796400;278.35
1800000;278.35
1803600;278.35
1807200;278.35
1810800;278.25
1814400;278.25
1818000;278.25
1821600;278.25
1825200;278.25
1828800;278.25
1832400;278.25
1836000;278.25
1839600;278.25
1843200;278.25
1846800;278.25
1850400;278.25
1854000;278.25
1857600;278.25
1861200;278.25
1864800;278.25
1868400;278.25
1872000;278.25
1875600;278.25
1879200;278.25
1882800;278.25
1886400;278.25
1890000;278.25
1893600;278.25
1897200;278.25
1900800;278.25
1904400;278.25
1908000;278.25
1911600;278.25
1915200;278.25
1918800;278.15
1922400;278.15
1926000;278.15
1929600;278.15
1933200;278.15
1936800;278.15
1940400;278.15
1944000;278.15
1947600;278.15
1951200;278.15
1954800;278.15
1958400;278.15
1962000;278.15
1965600;278.15
1969200;278.15
1972800;278.15
1976400;278.15
1980000;278.15
1983600;278.15
1987200;278.15
1990800;278.15
1994400;278.15
1998000;278.15
2001600;278.15
2005200;278.15
2008800;278.15
2012400;278.05
2016000;278.05
2019600;278.05
2023200;278.05
2026800;278.05
2030400;278.05
2034000;278.05
2037600;278.05
2041200;278.05
2044800;278.05
2048400;278.05
2052000;278.05
2055600;278.05
2059200;278.05
2062800;278.05
2066400;278.05
2070000;278.05
2073600;278.05
2077200;278.05
2080800;278.05
